time,bkgd_a,bkgd_b,bkgd_c
1503399600,1670,88064,99179.0538862227
1503400320,1670,88064,99170.8731523588
1503402780,1610,92160,99162.6924184948
1503406380,1610,92160,99182.2087917321
1503409980,1610,92160,99230.9997248253
1503413580,1670,88064,99284.8214310077
1503417180,1670,88064,99314.097474284
1503420780,1720,86016,99347.552602543
1503424380,1830,79872,99346.9367396824
1503427980,2000,74752,99370.6952132056
1503431580,2110,67584,99330.8566689815
1503435180,2170,67584,99267.3815220273
1503438780,2220,65536,99222.6014921802
1503442380,2170,67584,99169.7542782016
1503445980,2110,69632,99125.8494955123
1503449580,2000,71680,99107.1383594967
1503453180,1940,77824,99082.7073627443
1503456780,1720,86016,99113.334403873
1503460380,1670,92160,99148.1998957183
1503463980,1610,92160,99143.1760452576
1503466920,1560,95232,99138.2969519483
1503467580,1610,92160,99133.417858639
1503471180,1560,98304,99129.2159770026
1503474780,1560,95232,99129.2159770026
1503477660,1500,98304,99112.0494297605
1503478380,1500,98304,99094.8828825183
1503481980,1500,98304,99065.6110581143
1503485580,1560,95232,99060.9115659544
1503489180,1500,98304,99046.0965085116
1503492780,1500,98304,99055.8537833129
1503496380,1500,95232,99075.3683329156
1503499980,1560,92160,99099.942657982
1503500880,1560,92160,99109.7004309889
1503503580,1560,95232,99119.4582039958
1503507180,1610,92160,99152.9342318762
1503510660,1700,84992,99135.9290421591
1503510780,1670,88064,99118.923852442
1503514260,1800,78848,99103.9819515439
1503514380,1780,82944,99089.0400506459
1503517980,1890,79872,99049.320490411
1503521580,2000,74752,99029.0474398793
1503525180,2000,74752,98980.2406151184
1503528780,1890,79872,98912.6738125566
1503532200,1900,79872,98893.1528585774
1503532380,1890,79872,98873.6319045983
1503535980,1780,82944,98845.0504907851
1503538800,1560,95232,98838.2434768335
1503539580,1500,98304,98831.4364628819
1503540120,1500,98304,98858.3540573561
1503543180,1560,95232,98885.2716518304
1503546780,1560,95232,98904.7871978442
1503550260,1600,96256,98936.1579419832
1503550380,1610,95232,98967.5286861223
1503553860,1600,90112,98962.649592813
1503553980,1610,92160,98957.7704995037
